ACK_Event,Tahoe_cwnd_pkts,Reno_cwnd_pkts
1,2.0,2.0
2,3.0,3.0
3,4.0,4.0
4,5.0,5.0
5,6.0,6.0
6,7.0,7.0
7,8.0,8.0
8,9.0,9.0
9,10.0,10.0
10,11.0,11.0
11,12.0,12.0
12,13.0,13.0
13,14.0,14.0
14,15.0,15.0
15,16.0,16.0
16,17.0,17.0
17,18.0,18.0
18,19.0,19.0
19,20.0,20.0
20,21.0,21.0
21,22.0,22.0
22,23.0,23.0
23,24.0,24.0
24,25.0,25.0
25,26.0,26.0
26,27.0,27.0
27,28.0,28.0
28,29.0,29.0
29,30.0,30.0
30,31.0,31.0
31,32.0,32.0
32,33.0,33.0
33,34.0,34.0
34,34.0,35.0
35,35.0,36.0
36,36.0,37.0
37,37.0,38.0
38,38.0,39.0
39,39.0,40.0
40,40.0,41.0
41,41.0,42.0
42,42.0,42.0
43,43.0,43.0
44,44.0,44.0
45,44.0,45.0
46,45.0,46.0
47,46.0,46.0
48,47.0,47.0
49,48.0,48.0
50,49.0,49.0
51,49.0,49.0
52,50.0,50.0
53,51.0,51.0
54,52.0,51.0
55,53.0,52.0
56,54.0,53.0
57,55.0,54.0
58,56.0,55.0
59,57.0,56.0
60,58.0,57.0
61,59.0,58.0
62,60.0,59.0
63,60.0,60.0
64,61.0,61.0
65,62.0,62.0
66,62.0,63.0
67,63.0,64.0
68,64.0,64.0156
69,64.0,64.0156
70,64.0,64.0312
71,64.0156,64.0469
72,64.0312,64.0625
73,64.0469,64.0781
74,64.0625,64.0937
75,64.0781,64.1093
76,64.0937,64.1249
77,64.1093,64.1405
78,64.1249,64.1561
79,64.1405,64.1717
80,64.1561,64.1872
81,64.1561,64.2028
82,64.1717,64.2028
83,64.1872,64.2184
84,64.2028,64.234
85,64.2184,64.2495
86,64.234,64.2651
87,64.2495,64.2807
88,64.2651,64.2807
89,64.2651,64.2962
90,64.2807,64.3118
91,64.2962,64.3273
92,64.2962,64.3273
93,64.3118,64.3429
94,64.3273,64.3584
95,64.3429,64.3584
96,64.3584,64.374
97,64.374,64.374
98,64.3895,64.374
99,64.405,64.3895
100,64.4205,64.405
101,64.4361,64.4205
102,64.4516,64.4361
103,64.4671,64.4516
104,64.4671,64.4671
105,64.4826,64.4826
106,64.4981,64.4981
107,64.5136,64.5136
108,64.5291,64.5136
109,64.5446,64.5291
110,64.5601,64.5446
111,64.5756,64.5601
112,64.5911,64.5601
113,64.5911,64.5756
114,64.6066,64.5911
115,64.6066,64.6066
116,64.6221,64.6221
117,64.6375,64.6375
118,64.6375,64.6375
119,64.653,64.653
120,64.6685,64.6685
121,64.6839,64.6839
122,64.6994,64.6994
123,64.7148,64.7148
124,64.7303,64.7303
125,64.7457,64.7457
126,64.7612,64.7612
127,64.7612,64.7766
128,64.7766,64.7921
129,64.7766,64.8075
130,64.7921,64.8229
131,64.8075,64.8384
132,64.8075,64.8538
133,64.8229,64.8692
134,64.8384,64.8846
135,64.8538,64.9
136,64.8692,64.9154
137,64.8846,64.9154
138,64.8846,64.9154
139,64.8846,64.9308
140,64.9,64.9462
141,64.9154,64.9616
142,64.9308,64.977
143,64.9462,64.977
144,64.9462,64.9924
145,64.9616,65.0078
146,64.977,65.0232
147,64.9924,65.0386
148,65.0078,65.0539
149,65.0232,65.0539
150,65.0386,65.0693
151,65.0539,65.0847
152,65.0693,65.1001
153,65.0693,65.1154
154,65.0847,65.1308
155,65.1001,65.1461
156,65.1154,65.1615
157,65.1308,65.1768
158,65.1461,65.1922
159,65.1615,65.2075
160,65.1768,65.2075
161,65.1922,65.2228
162,65.2075,65.2382
163,65.2075,65.2535
164,65.2228,65.2688
165,65.2382,65.2841
166,65.2535,65.2995
167,65.2688,65.3148
168,65.2841,65.3301
169,65.2995,65.3454
170,65.3148,65.3607
171,65.3301,65.376
172,65.3454,65.3913
173,65.3607,65.4066
174,65.376,65.4066
175,65.3913,65.4219
176,65.4066,65.4372
177,65.4219,65.4524
178,65.4372,65.4677
179,65.4524,65.483
180,65.4677,65.4983
181,65.483,65.5135
182,65.4983,65.5135
183,65.5135,65.5288
184,65.5288,65.5441
185,65.5288,65.5441
186,65.5441,65.5593
187,65.5593,65.5746
188,65.5593,65.5898
189,65.5746,65.6051
190,65.5898,65.6203
191,65.6051,65.6355
192,65.6203,65.6508
193,65.6355,65.666
194,65.6508,65.6812
195,65.666,65.6965
196,65.6812,65.7117
197,65.6965,65.7269
198,65.7117,65.7421
199,65.7269,65.7573
200,65.7421,65.7725
201,65.7573,65.7877
202,65.7725,65.8029
203,65.7877,65.8029
204,65.8029,65.8029
205,65.8181,65.8181
206,65.8333,65.8333
207,65.8485,65.8485
208,65.8485,65.8637
209,65.8637,65.8789
210,65.8637,65.8941
211,65.8789,65.9093
212,65.8941,65.9244
213,65.9093,65.9396
214,65.9093,65.9548
215,65.9244,65.9699
216,65.9396,65.9699
217,65.9548,65.9699
218,65.9548,65.9851
219,65.9699,66.0002
220,65.9851,66.0154
221,66.0002,66.0305
222,66.0154,66.0305
223,66.0305,66.0457
224,66.0457,66.0608
225,66.0608,66.076
226,66.076,66.0911
227,66.0911,66.1062
228,66.1062,66.1213
229,66.1213,66.1365
230,66.1365,66.1516
231,66.1365,66.1667
232,66.1516,66.1818
233,66.1667,66.1969
234,66.1818,66.1969
235,66.1969,66.1969
236,66.212,66.212
237,66.2271,66.2271
238,66.2422,66.2422
239,66.2573,66.2573
240,66.2724,66.2724
241,66.2875,66.2875
242,66.3026,66.3026
243,66.3177,66.3026
244,66.3328,66.3177
245,66.3478,66.3328
246,66.3629,66.3478
247,66.378,66.3629
248,66.393,66.378
249,66.4081,66.393
250,66.4081,66.4081
251,66.4232,66.4232
252,66.4382,66.4382
253,66.4382,66.4533
254,66.4533,66.4533
255,66.4533,66.4533
256,66.4683,66.4683
257,66.4834,66.4683
258,66.4984,66.4834
259,66.5134,66.4984
260,66.5285,66.5134
261,66.5435,66.5285
262,66.5585,66.5435
263,66.5736,66.5585
264,66.5886,66.5736
265,66.5886,66.5886
266,66.6036,66.5886
267,66.6186,66.5886
268,66.6336,66.6036
269,66.6486,66.6186
270,66.6486,66.6336
271,66.6636,66.6486
272,66.6636,66.6636
273,66.6786,66.6786
274,66.6936,66.6936
275,66.7086,66.6936
276,66.7236,66.7086
277,66.7236,66.7086
278,66.7386,66.7236
279,66.7386,66.7236
280,66.7536,66.7386
281,66.7686,66.7536
282,66.7836,66.7686
283,66.7985,66.7686
284,66.8135,66.7836
285,66.8285,66.7985
286,66.8434,66.8135
287,66.8584,66.8285
288,66.8733,66.8285
289,66.8883,66.8434
290,66.9032,66.8434
291,66.9182,66.8584
292,66.9182,66.8733
293,66.9331,66.8883
294,66.9481,66.9032
295,66.963,66.9182
296,66.9779,66.9331
297,66.9929,66.9481
298,67.0078,66.963
299,67.0227,66.963
300,67.0376,66.9779
301,67.0376,66.9929
302,67.0526,67.0078
303,67.0675,67.0227
304,67.0824,67.0376
305,67.0824,67.0526
306,67.0973,67.0675
307,67.1122,67.0824
308,67.1271,67.0973
309,67.142,67.0973
310,67.1569,67.1122
311,67.1718,67.1271
312,67.1718,67.1271
313,67.1867,67.142
314,67.2016,67.1569
315,67.2164,67.1718
316,67.2313,67.1867
317,67.2462,67.2016
318,67.2611,67.2164
319,67.2759,67.2313
320,67.2908,67.2462
321,67.3056,67.2611
322,67.3056,67.2759
323,67.3205,67.2908
324,67.3354,67.3056
325,67.3502,67.3205
326,67.3502,67.3354
327,67.3651,67.3354
328,67.3799,67.3502
329,67.3799,67.3651
330,67.3799,67.3799
331,67.3947,67.3947
332,67.3947,67.4096
333,67.4096,67.4244
334,67.4244,67.4392
335,67.4392,67.4541
336,67.4541,67.4689
337,67.4689,67.4689
338,67.4837,67.4837
339,67.4985,67.4837
340,67.5134,67.4985
341,67.5282,67.4985
342,67.5282,67.5134
343,67.5282,67.5282
344,67.543,67.543
345,67.5578,67.5578
346,67.5726,67.5578
347,67.5874,67.5726
348,67.6022,67.5726
349,67.617,67.5874
350,67.6318,67.6022
351,67.6465,67.617
352,67.6465,67.6318
353,67.6465,67.6465
354,67.6613,67.6613
355,67.6761,67.6613
356,67.6909,67.6761
357,67.7057,67.6909
358,67.7057,67.7057
359,67.7057,67.7057
360,67.7204,67.7204
361,67.7204,67.7352
362,67.7352,67.75
363,67.75,67.75
364,67.7647,67.7647
365,67.7647,67.7795
366,67.7795,67.7942
367,67.7942,67.809
368,67.809,67.8237
369,67.8237,67.8385
370,67.8385,67.8532
371,67.8532,67.868
372,67.868,67.8827
373,67.8827,67.8974
374,67.8974,67.9121
375,67.9121,67.9269
376,67.9269,67.9416
377,67.9416,67.9563
378,67.9563,67.971
379,67.971,67.9857
380,67.9857,68.0004
381,68.0004,68.0152
382,68.0152,68.0152
383,68.0299,68.0299
384,68.0446,68.0446
385,68.0446,68.0592
386,68.0592,68.0739
387,68.0592,68.0886
