ACK_Event,Time_s,Tahoe_DropRate_pct,Reno_DropRate_pct
1,0.025149,0.0,0.0
2,0.041918,0.0,0.0
3,0.054485,0.0,0.0
4,0.064532,0.0,0.0
5,0.072942,0.0,0.0
6,0.080942,0.0,0.0
7,0.088942,0.0,0.0
8,0.096942,0.0,0.0
9,0.104942,0.0,0.0
10,0.112942,0.0,0.0
11,0.120942,0.0,0.0
12,0.128942,0.0,0.0
13,0.136942,0.0,0.0
14,0.144942,0.0,0.0
15,0.152942,0.0,0.0
16,0.160942,0.0,0.0
17,0.168942,0.0,0.0
18,0.176942,0.0,0.0
19,0.184942,0.0,0.0
20,0.192942,0.0,0.0
21,0.200942,0.0,0.0
22,0.208942,0.0,0.0
23,0.216942,0.0,0.0
24,0.224942,0.0,0.0
25,0.232942,0.0,0.0
26,0.240942,0.0,0.0
27,0.248942,0.7407,0.0
28,0.256942,0.7143,0.7143
29,0.264942,0.6897,0.6897
30,0.272942,0.6667,0.6667
31,0.280942,0.6452,0.6452
32,0.288942,0.625,0.625
33,0.296942,0.6061,0.6061
34,0.304942,1.1765,0.5882
35,0.312942,1.1429,0.5714
36,0.320942,1.1111,1.6667
37,0.328942,1.6216,2.1622
38,0.336942,1.5789,2.1053
39,0.344942,1.5385,2.0513
40,0.352942,2.5,2.0
41,0.360942,2.439,1.9512
42,0.368942,2.381,1.9048
43,0.376942,2.3256,2.3256
44,0.384942,3.1818,2.7273
45,0.392942,3.5556,3.1111
46,0.400942,3.4783,3.913
47,0.408942,3.8298,4.2553
48,0.416942,4.1667,4.1667
49,0.424942,4.4898,4.0816
50,0.432942,4.8,4.4
51,0.440942,5.4902,4.7059
52,0.448942,5.3846,4.6154
53,0.456942,5.6604,4.5283
54,0.464942,5.9259,4.4444
55,0.472942,6.1818,4.3636
56,0.480942,6.4286,4.2857
57,0.488942,6.3158,4.2105
58,0.496942,6.2069,4.1379
59,0.504942,6.1017,4.0678
60,0.512942,6.3333,4.0
61,0.520942,6.5574,4.2623
62,0.528942,6.4516,4.5161
63,0.536942,6.9841,4.4444
64,0.544942,7.1875,4.375
65,0.552942,7.0769,4.6154
66,0.560942,7.2727,4.5455
67,0.568942,7.4627,4.7761
68,0.576942,7.6471,4.7059
69,0.584942,8.1159,5.2174
70,0.592942,8.2857,5.4286
71,0.600942,8.169,5.9155
72,0.608942,8.8889,5.8333
73,0.616942,8.7671,6.0274
74,0.624942,8.6486,6.2162
75,0.632942,8.8,6.1333
76,0.640942,8.9474,6.0526
77,0.648942,8.8312,6.4935
78,0.656942,8.9744,6.6667
79,0.664942,8.8608,6.5823
80,0.672942,8.75,7.0
81,0.680942,9.3827,6.9136
82,0.688942,9.2683,6.8293
83,0.696942,9.3976,6.988
84,0.704942,9.5238,7.1429
85,0.712942,9.6471,7.0588
86,0.720942,9.7674,7.2093
87,0.728942,9.8851,7.1264
88,0.736942,9.7727,7.0455
89,0.744942,10.1124,7.4157
90,0.752942,10.2222,7.3333
91,0.760942,10.1099,7.2527
92,0.768942,10.4348,7.1739
93,0.776942,10.5376,7.0968
94,0.784942,10.8511,7.0213
95,0.792942,10.9474,6.9474
96,0.800942,10.8333,6.875
97,0.808942,10.9278,7.0103
98,0.816942,10.8163,7.3469
99,0.824942,10.7071,7.4747
100,0.832942,10.8,7.4
101,0.840942,10.6931,7.3267
102,0.848942,10.5882,7.2549
103,0.856942,10.6796,7.1845
104,0.864942,10.9615,7.1154
105,0.872942,11.0476,7.2381
106,0.880942,10.9434,7.1698
107,0.888942,10.8411,7.1028
108,0.896942,10.7407,7.037
109,0.904942,10.8257,7.156
110,0.912942,10.9091,7.0909
111,0.920942,10.8108,7.3874
112,0.928942,10.7143,7.3214
113,0.936942,10.7965,7.2566
114,0.944942,10.7018,7.193
115,0.952942,10.9565,7.3043
116,0.960942,11.0345,7.2414
117,0.968942,10.9402,7.3504
118,0.976942,11.0169,7.2881
119,0.984942,11.0924,7.2269
120,0.992942,11.0,7.1667
121,1.000942,11.0744,7.1074
122,1.008942,10.9836,7.0492
123,1.016942,10.8943,7.1545
124,1.024942,10.9677,7.4194
125,1.032942,10.88,7.36
126,1.040942,11.1111,7.3016
127,1.048942,11.1811,7.2441
128,1.056942,11.0938,7.1875
129,1.064942,11.3178,7.1318
130,1.072942,11.3846,7.0769
131,1.080942,11.4504,7.0229
132,1.088942,11.5152,7.1212
133,1.096942,11.4286,7.218
134,1.104942,11.4925,7.1642
135,1.112942,11.4074,7.2593
136,1.120942,11.4706,7.2059
137,1.128942,11.3869,7.4453
138,1.136942,11.5942,7.3913
139,1.144942,11.6547,7.482
140,1.152942,11.7143,7.4286
141,1.160942,11.773,7.5177
142,1.168942,11.831,7.6056
143,1.176942,11.7483,7.6923
144,1.184942,11.9444,7.9167
145,1.192942,11.8621,7.8621
146,1.200942,11.7808,7.8082
147,1.208942,11.7007,7.7551
148,1.216942,11.7568,7.8378
149,1.224942,11.8121,7.9195
150,1.232942,11.7333,7.8667
151,1.240942,11.6556,7.8146
152,1.248942,11.5789,7.7632
153,1.256942,11.634,7.7124
154,1.264942,11.5584,7.6623
155,1.272942,11.4839,7.7419
156,1.280942,11.4103,7.6923
157,1.288942,11.3376,7.6433
158,1.296942,11.3924,7.5949
159,1.304942,11.3208,7.5472
160,1.312942,11.25,7.75
161,1.320942,11.1801,7.7019
162,1.328942,11.1111,7.7778
163,1.336942,11.2883,7.7301
164,1.344942,11.2195,7.8049
165,1.352942,11.1515,7.7576
166,1.360942,11.0843,7.7108
167,1.368942,11.018,7.6647
168,1.376942,10.9524,7.619
169,1.384942,10.8876,7.574
170,1.392942,10.8235,7.5294
171,1.400942,10.8772,7.4854
172,1.408942,10.814,7.4419
173,1.416942,10.7514,7.3988
174,1.424942,10.6897,7.3563
175,1.432942,10.6286,7.4286
176,1.440942,10.5682,7.3864
177,1.448942,10.5085,7.3446
178,1.456942,10.4494,7.3034
179,1.464942,10.3911,7.3743
180,1.472942,10.4444,7.4444
181,1.480942,10.3867,7.4033
182,1.488942,10.3297,7.3626
183,1.496942,10.2732,7.3224
184,1.504942,10.3261,7.5
185,1.512942,10.3784,7.4595
186,1.520942,10.4301,7.5269
187,1.528942,10.3743,7.4866
188,1.536942,10.6383,7.5532
189,1.544942,10.582,7.5132
190,1.552942,10.5263,7.5789
191,1.560942,10.4712,7.644
192,1.568942,10.4167,7.6042
193,1.576942,10.3627,7.5648
194,1.584942,10.5155,7.732
195,1.592942,10.4615,7.6923
196,1.600942,10.4082,7.6531
197,1.608942,10.3553,7.7157
198,1.616942,10.303,7.6768
199,1.624942,10.2513,7.7387
200,1.632942,10.2,7.7
201,1.640942,10.2488,7.7612
202,1.648942,10.297,7.7228
203,1.656942,10.2463,7.7833
204,1.664942,10.2941,7.7451
205,1.672942,10.2439,7.7073
206,1.680942,10.2913,7.6699
207,1.688942,10.3382,7.6329
208,1.696942,10.6731,7.6923
209,1.704942,10.622,7.8469
210,1.712942,10.6667,7.8095
211,1.720942,10.6161,7.7725
212,1.728942,10.566,7.7358
213,1.736942,10.5164,7.7934
214,1.744942,10.5607,7.757
215,1.752942,10.5116,7.7209
216,1.760942,10.463,7.7778
217,1.768942,10.4147,7.7419
218,1.776942,10.4587,7.7064
219,1.784942,10.411,7.6712
220,1.792942,10.3636,7.7273
221,1.800942,10.4072,7.7828
222,1.808942,10.3604,7.8378
223,1.816942,10.4933,7.8027
224,1.824942,10.4464,7.7679
225,1.832942,10.4,7.7333
226,1.840942,10.354,7.7876
227,1.848942,10.3084,7.8414
228,1.856942,10.2632,7.8947
229,1.864942,10.2183,7.9476
230,1.872942,10.2609,8.0
231,1.880942,10.303,8.0519
232,1.888942,10.2586,8.1034
233,1.896942,10.2146,8.0687
234,1.904942,10.1709,8.1197
235,1.912942,10.1277,8.0851
236,1.920942,10.0847,8.0508
