ACK_Event,Tahoe_RTT_ms,Reno_RTT_ms
1,52.3764,50.0
2,50.3766,50.0
3,50.0,52.8711
4,50.0,50.0
5,52.0705,50.0602
6,58.3922,61.4823
7,67.3733,64.5975
8,78.1237,71.6134
9,77.3744,79.7074
10,87.0943,88.8172
11,97.1241,102.589
12,103.4079,100.7017
13,113.3148,117.3518
14,123.1325,124.6865
15,125.6728,129.9378
16,134.6987,140.0382
17,148.8845,143.7598
18,153.5081,154.3453
19,157.6121,162.68
20,165.9556,172.5454
21,180.0688,180.5362
22,186.6127,184.3835
23,194.1494,191.2078
24,203.3763,199.2703
25,208.0946,211.3493
26,220.1659,219.2548
27,229.9966,226.4312
28,232.3196,229.8759
29,241.7656,246.2858
30,248.2233,249.719
31,255.56,258.8805
32,263.0505,261.5821
33,274.3519,276.0501
34,271.8649,276.6002
35,281.7703,288.2111
36,292.0525,296.2484
37,296.2689,312.181
38,310.0227,312.3363
39,311.7247,322.312
40,322.6017,329.6793
41,329.682,342.1693
42,341.9638,339.0785
43,347.992,344.2851
44,364.2055,352.7007
45,355.383,359.9133
46,362.4218,368.4745
47,369.0405,364.6349
48,378.5107,377.5266
49,378.1472,385.4703
50,392.5472,393.411
51,393.1696,395.0896
52,397.5372,402.0391
53,409.0767,411.3516
54,416.8701,409.218
55,431.8719,418.4786
56,432.2466,422.2512
57,444.871,432.7517
58,455.9694,440.9999
59,447.3586,442.7946
60,446.8497,440.2956
61,444.9488,447.0314
62,448.7241,450.5873
63,449.7327,450.8417
64,450.5316,457.0518
65,451.2625,447.9333
66,447.7594,449.8473
67,451.1997,445.8773
68,449.5846,451.7145
69,450.3403,452.528
70,444.8995,448.1613
71,447.7599,453.8321
72,449.2752,448.1557
73,450.8879,448.4704
74,453.6279,451.0836
75,446.2967,450.652
76,459.0665,454.3941
77,448.4856,450.0453
78,449.8321,454.8315
79,448.1559,451.7642
80,448.857,444.3725
81,448.5301,449.3492
82,448.4128,449.4978
83,451.9963,448.8046
84,450.9526,455.6682
85,454.7337,448.1921
86,455.1899,451.1457
87,451.1753,452.9708
88,444.6825,448.3588
89,447.1419,451.9781
90,451.322,453.2008
91,445.9994,447.0886
92,442.3439,454.46
93,446.8248,454.154
94,455.0522,450.9931
95,447.0216,452.7323
96,450.9965,453.6276
97,452.8761,451.5657
98,448.4948,453.2086
99,460.8437,452.0478
100,453.5677,451.8329
101,455.2174,451.5696
102,447.3978,451.4284
103,450.6859,453.4468
104,452.959,453.9889
105,452.3452,445.1065
106,449.7829,447.2742
107,443.3299,452.1442
108,453.5045,452.2251
109,449.6569,448.7856
110,448.2943,450.9271
111,446.7045,446.2805
112,448.2103,448.4863
113,446.9379,447.6144
114,448.2103,451.2901
115,451.189,450.2269
116,449.7009,451.4039
117,449.0052,451.6808
118,448.0412,451.0584
119,450.0958,450.6333
120,454.0298,453.6106
121,446.8437,445.9786
122,448.1687,453.0579
123,449.5329,447.7694
124,447.8342,446.3552
125,449.1918,452.1043
126,452.4875,450.3173
127,439.575,454.0502
128,452.7967,452.1816
129,450.5404,444.8164
130,452.2923,445.4847
131,452.0915,454.8225
132,448.0179,452.7887
133,448.8125,451.185
134,446.0482,451.2718
135,455.5232,454.0825
136,450.2717,449.4242
137,451.494,453.7466
138,449.3968,453.2537
139,447.7403,445.7031
140,449.2148,449.8996
141,451.223,449.7241
142,454.0753,451.482
143,454.8073,449.5675
144,446.7478,449.3194
145,449.9578,451.4219
146,450.2493,449.2801
147,449.6298,451.5527
148,454.9189,450.8082
149,451.1844,446.1076
150,450.0721,450.9278
151,444.5408,449.7241
152,448.392,454.3262
153,451.793,445.7722
154,451.849,451.2293
155,454.1159,451.888
156,445.0692,449.2862
157,454.1697,449.7361
158,453.1428,448.0614
159,448.7377,455.9088
160,448.8047,441.5795
161,455.4131,448.9786
162,449.1846,450.2744
163,449.7727,452.0921
164,447.3138,447.5915
165,453.5958,453.0182
166,445.8727,450.1418
167,454.7346,446.9955
168,453.8223,453.5858
169,451.3537,448.0696
170,446.9555,447.0757
171,450.0921,450.2084
172,450.6501,451.1207
173,455.1555,451.5028
174,444.104,450.2431
175,443.1701,445.8312
176,454.9834,450.9018
177,455.9595,449.2868
178,455.2768,444.7287
