ACK_Event,Time_s,Tahoe_Throughput_kbps,Reno_Throughput_kbps
1,0.025149,478.922,480.0
2,0.041918,574.4396,575.049
3,0.054485,662.5261,662.5882
4,0.064532,745.4649,745.267
5,0.072942,824.2836,824.204
6,0.080942,891.1936,891.115
7,0.088942,946.0464,945.9697
8,0.096942,991.8318,991.7573
9,0.104942,1030.6265,1030.5544
10,0.112942,1063.9179,1063.8484
11,0.120942,1092.7996,1092.7325
12,0.128942,1118.0932,1118.0285
13,0.136942,1140.4283,1140.3659
14,0.144942,1160.2953,1160.2351
15,0.152942,1178.0819,1178.0237
16,0.160942,1194.0985,1194.0424
17,0.168942,1208.5969,1208.5426
18,0.176942,1221.7832,1221.7307
19,0.184942,1233.8278,1233.7769
20,0.192942,1244.8727,1244.8234
21,0.200942,1255.0376,1254.9898
22,0.208942,1264.4235,1264.3771
23,0.216942,1273.1167,1273.0716
24,0.224942,1281.1911,1281.1473
25,0.232942,1288.7106,1288.668
26,0.240942,1295.7304,1295.6889
27,0.248942,1292.6408,1302.2584
28,0.256942,1299.1012,1299.0742
29,0.264942,1305.1711,1305.1444
30,0.272942,1310.885,1310.8586
31,0.280942,1316.2734,1316.2472
32,0.288942,1321.3631,1321.3372
33,0.296942,1326.1785,1326.1529
34,0.304942,1322.8707,1330.7157
35,0.312942,1327.4011,1335.0452
36,0.320942,1331.7055,1324.194
37,0.328942,1328.5024,1321.1732
38,0.336942,1332.5761,1325.4209
39,0.344942,1336.4608,1329.4714
40,0.352942,1326.5649,1333.3383
41,0.360942,1330.4106,1337.0336
42,0.368942,1334.0894,1340.5687
43,0.376942,1337.612,1337.5946
44,0.384942,1328.5068,1334.7437
45,0.392942,1325.8919,1331.9945
46,0.400942,1329.3673,1323.3763
47,0.408942,1326.8315,1318.463
48,0.416942,1324.4002,1319.0068
49,0.424942,1322.0556,1319.9377
50,0.432942,1319.8023,1315.6188
51,0.440942,1312.1879,1311.7181
52,0.448942,1315.5358,1313.5388
53,0.456942,1313.509,1315.48
54,0.464942,1311.5577,1317.512
55,0.472942,1309.6669,1319.6166
56,0.480942,1307.8445,1321.773
57,0.488942,1310.9895,1323.9732
58,0.496942,1314.0332,1326.1863
59,0.504942,1316.9804,1328.3935
60,0.512942,1315.156,1330.5793
61,0.520942,1313.3858,1328.1406
62,0.528942,1316.2091,1325.8211
63,0.536942,1310.008,1328.0861
64,0.544942,1308.3914,1330.3356
65,0.552942,1311.1643,1328.2096
66,0.560942,1309.5797,1330.4471
67,0.568942,1308.0389,1328.4275
68,0.576942,1306.542,1330.6536
69,0.584942,1300.9794,1324.629
70,0.592942,1299.6177,1322.8275
71,0.600942,1302.2859,1315.3869
72,0.608942,1293.0572,1315.8586
73,0.616942,1295.7413,1312.6736
74,0.624942,1298.3567,1309.7854
75,0.632942,1297.1123,1310.9601
76,0.640942,1295.8982,1312.2528
77,0.648942,1298.4149,1306.3728
78,0.656942,1297.2174,1304.2894
79,0.664942,1299.6576,1305.959
80,0.672942,1302.0398,1300.5328
81,0.680942,1293.7886,1302.3518
82,0.688942,1296.1837,1304.1808
83,0.696942,1295.0787,1302.5767
84,0.704942,1293.9998,1301.0445
85,0.712942,1292.9451,1302.9532
86,0.720942,1200.4423,1301.5269
87,0.728942,1177.6392,1303.449
88,0.736942,1170.0495,1305.3514
89,0.744942,1160.3653,1300.9371
90,0.752942,1156.1271,1302.8708
91,0.760942,1156.3038,1304.7745
92,0.768942,1150.9534,1306.6535
93,0.776942,1149.281,1308.5086
94,0.784942,1144.9211,1310.3296
95,0.792942,1143.9186,1312.123
96,0.800942,1146.1101,1313.8922
97,0.808942,1145.4284,1312.6742
98,0.816942,1147.8063,1308.5544
99,0.824942,1150.2197,1307.4285
100,0.832942,1149.7715,1309.2048
101,0.840942,1152.2387,1310.9509
102,0.848942,1154.7062,1312.6679
103,0.856942,1154.3329,1314.3593
104,0.864942,1151.1991,1316.0258
105,0.872942,1150.8807,1315.0364
106,0.880942,1153.2992,1316.6743
107,0.888942,1155.6809,1318.2819
108,0.896942,1158.0267,1319.864
109,0.904942,1157.6842,1318.7668
110,0.912942,1157.3544,1320.3172
111,0.920942,1159.6434,1316.6306
112,0.928942,1161.899,1318.1726
113,0.936942,1161.5605,1319.6928
114,0.944942,1163.7734,1321.1903
115,0.952942,1160.9166,1320.237
116,0.960942,1160.6105,1321.7021
117,0.968942,1162.793,1320.6688
118,0.976942,1162.4883,1322.1097
119,0.984942,1162.1931,1323.5253
120,0.992942,1164.3256,1324.9221
121,1.000942,1164.0305,1326.2982
122,1.008942,1166.1244,1327.6529
123,1.016942,1168.1901,1326.6276
124,1.024942,1167.8869,1323.2749
125,1.032942,1169.9162,1324.6215
126,1.040942,1167.3069,1325.9487
127,1.048942,1167.0306,1327.2559
128,1.056942,1169.0335,1328.5436
129,1.064942,1166.5023,1329.8123
130,1.072942,1166.2499,1331.0615
131,1.080942,1101.5574,1332.2932
132,1.088942,1083.179,1331.3026
133,1.096942,1076.4297,1330.3259
134,1.104942,1071.187,1331.537
135,1.112942,1069.9859,1330.5743
136,1.120942,1067.7149,1331.7595
137,1.128942,1068.2601,1328.6727
138,1.136942,1065.0165,1329.8486
139,1.144942,1064.2265,1328.9182
140,1.152942,1063.6721,1330.0872
141,1.160942,1063.2975,1329.1726
142,1.168942,1000.2618,1328.2728
143,1.176942,983.9789,1327.3844
144,1.184942,973.9437,1323.5793
